
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D4:D7:48:D9:16:92, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -38,        6,        0,   0.  0.  0.  0,   8, Faculty5, 
D4:D7:48:D9:12:74, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -25,        4,        0,   0.  0.  0.  0,  10, research10, 
D4:D7:48:D8:C8:12, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -47,        4,        0,   0.  0.  0.  0,   8, Faculty5, 
D4:D7:48:D9:12:72, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -24,        3,        0,   0.  0.  0.  0,   8, Faculty5, 
D4:D7:48:D8:C8:13, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -47,        2,        0,   0.  0.  0.  0,   6, Staff5, 
D4:D7:48:D9:12:73, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -24,        2,        0,   0.  0.  0.  0,   6, Staff5, 
D4:D7:48:D8:C8:11, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -47,        4,        1,   0.  0.  0.  0,   8, Student5, 
D4:D7:48:D9:16:91, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -38,        3,        1,   0.  0.  0.  0,   8, Student5, 
D4:D7:48:D9:12:76, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2, CCMP, MGT, -24,        1,        0,   0.  0.  0.  0,   7, eduroam, 
D4:D7:48:D9:12:71, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -24,        3,        2,   0.  0.  0.  0,   8, Student5, 
D4:D7:48:D8:C8:15, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -48,        1,        0,   0.  0.  0.  0,   9, UAHEvents, 
D4:D7:48:D8:C8:10, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -48,        2,        0,   0.  0.  0.  0,   6, Guest5, 
D4:D7:48:D9:12:70, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -25,        2,        0,   0.  0.  0.  0,   6, Guest5, 
D4:D7:48:D9:16:96, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2, CCMP, MGT, -38,        2,        0,   0.  0.  0.  0,   7, eduroam, 
D4:D7:48:D9:12:75, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -25,        1,        0,   0.  0.  0.  0,   9, UAHEvents, 
60:60:1F:04:74:40, 2017-04-04 18:03:53, 2017-04-04 18:03:56,  6,  54, WPA2, CCMP,PSK, -56,        8,        0,   0.  0.  0.  0,  15, PHANTOM3_047440, 
D4:D7:48:D8:C8:14, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -47,        1,        0,   0.  0.  0.  0,  10, research10, 
D4:D7:48:D9:16:94, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -39,        1,        0,   0.  0.  0.  0,  10, research10, 
D4:D7:48:D8:C8:16, 2017-04-04 18:03:53, 2017-04-04 18:03:53,  1,  54, WPA2, CCMP, MGT, -48,        1,        0,   0.  0.  0.  0,   7, eduroam, 
CC:B2:55:CF:85:A1, 2017-04-04 18:03:53, 2017-04-04 18:03:57,  8,  54, WPA2, CCMP,PSK, -48,        3,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:44:F0:79, 2017-04-04 18:03:57, 2017-04-04 18:03:57, -43,        3, (not associated) ,Adonnaftw5G

