Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Faculty5;D4:D7:48:D9:16:92;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;research10;D4:D7:48:D9:12:74;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Faculty5;D4:D7:48:D8:C8:12;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Faculty5;D4:D7:48:D9:12:72;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Staff5;D4:D7:48:D8:C8:13;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Staff5;D4:D7:48:D9:12:73;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Student5;D4:D7:48:D8:C8:11;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;4;0;1;0;0;1;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-47;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Student5;D4:D7:48:D9:16:91;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;1;0;0;1;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Student5;D4:D7:48:D9:12:71;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;3;0;2;0;0;2;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Guest5;D4:D7:48:D8:C8:10;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Guest5;D4:D7:48:D9:12:70;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;eduroam;D4:D7:48:D9:16:96;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:53 2017;-38;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;PHANTOM3_047440;60:60:1F:04:74:40;;6;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:56 2017;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;;CC:B2:55:CF:85:A1;;8;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Tue Apr  4 18:03:53 2017;Tue Apr  4 18:03:57 2017;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
