
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D4:D7:48:80:BE:26, 2016-12-15 03:43:27, 2016-12-15 03:43:56, 11,  54, WPA2, CCMP, MGT, -23,        6,        0,   0.  0.  0.  0,   7, eduroam, 
D4:D7:48:D9:0A:E4, 2016-12-15 03:43:27, 2016-12-15 03:43:57, 11,  54, WPA2WPA , CCMP TKIP,PSK, -54,        7,        0,   0.  0.  0.  0,  10, research10, 
50:60:28:45:67:82, 2016-12-15 03:43:29, 2016-12-15 03:43:52, 11,  54, WPA2WPA , CCMP TKIP,PSK, -69,        1,        0,   0.  0.  0.  0,   6, Guest5, 
50:60:28:45:67:84, 2016-12-15 03:43:27, 2016-12-15 03:43:46, 11,  54, WPA2WPA , CCMP TKIP,PSK, -68,        3,        0,   0.  0.  0.  0,   6, Staff5, 
50:60:28:45:67:86, 2016-12-15 03:43:24, 2016-12-15 03:43:52, 11,  54, WPA2WPA , CCMP TKIP,PSK, -67,        5,        0,   0.  0.  0.  0,   9, UAHEvents, 
50:60:28:45:67:83, 2016-12-15 03:43:29, 2016-12-15 03:43:52, 11,  54, WPA2WPA , CCMP TKIP,PSK, -67,        2,        0,   0.  0.  0.  0,   5, net40, 
50:60:28:45:67:81, 2016-12-15 03:43:32, 2016-12-15 03:43:47, 11,  54, WPA2WPA , CCMP TKIP,PSK, -67,        3,        0,   0.  0.  0.  0,   8, Faculty5, 
50:60:28:45:67:85, 2016-12-15 03:43:41, 2016-12-15 03:43:52, 11,  54, WPA2WPA , CCMP TKIP,PSK, -67,        1,        0,   0.  0.  0.  0,   8, Student5, 
00:23:69:B3:35:B3, 2016-12-15 03:43:26, 2016-12-15 03:43:57,  6,  54, OPN ,       ,   , -68,       11,        0,   0.  0.  0.  0,   7, linksys, 
50:60:28:45:67:80, 2016-12-15 03:43:37, 2016-12-15 03:43:56, 11,  54, WPA2, CCMP, MGT, -64,        4,        0,   0.  0.  0.  0,   7, eduroam, 
D4:D7:48:80:BE:45, 2016-12-15 03:43:32, 2016-12-15 03:43:42,  6,  54, WPA2WPA , CCMP TKIP,PSK, -60,        2,        0,   0.  0.  0.  0,   9, UAHEvents, 
