Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;UAHEvents;D4:D7:48:B1:B5:15;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:27 2017;-36;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;eduroam;D4:D7:48:B1:BB:E6;;6;No;WPA2,AES-CCM;No;54.0;0;5;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:27 2017;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Student5;D4:D7:48:B1:BB:E1;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:27 2017;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;research10;D4:D7:48:B1:B5:14;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:30 2017;-36;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Staff5;D4:D7:48:B1:BB:E3;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:30 2017;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Faculty5;D4:D7:48:B1:B5:12;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Sat Jan 21 00:56:26 2017;Sat Jan 21 00:56:30 2017;-37;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;UAHEvents;D4:D7:48:B1:BB:E5;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;CC:B2:55:CF:85:A1;;8;No;WPA2,AES-CCM;No;54.0;0;14;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-40;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;research10;D4:D7:48:B1:BB:E4;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;8;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-51;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Staff5;D4:D7:48:B1:B5:13;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-36;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Faculty5;D4:D7:48:B1:BB:E2;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;uah-phantom;60:60:1F:04:74:40;;6;No;WPA2,AES-CCM;No;54.0;0;12;0;0;0;0;0;;;Sat Jan 21 00:56:27 2017;Sat Jan 21 00:56:30 2017;-13;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
